TCID,ChEBI_ID_desc
2.A.30.5.1,CHEBI32588;potassium chlorideCHEBI5585;water
1.A.108.1.1,CHEBI25367;moleculeCHEBI82655;animal growth promotant
1.A.74.1.2,CHEBI3308;calcium(2+)CHEBI8345;potassium(1+)
1.B.14.3.5,CHEBI25367;molecule
1.B.81.1.3,CHEBI25367;molecule
2.A.5.1.1,CHEBI3290;cadmium(2+)CHEBI10113;zinc(2+)
2.A.19.2.5,CHEBI3290;cadmium(2+)CHEBI3308;calcium(2+)CHEBI10113;zinc(2+)CHEBI5584;hydron
9.A.44.1.2,CHEBI25367;molecule
1.A.112.2.7,CHEBI6635;magnesium(2+)CHEBI23337;cobalt(2+)
2.A.1.16.1,CHEBI5584;hydronCHEBI24636;proton
1.A.23.4.13,CHEBI25367;molecule
1.C.137.2.2,CHEBI25367;molecule
1.A.83.1.3,CHEBI25367;molecule
1.A.103.1.1,CHEBI25414;monoatomic monocation
1.C.99.1.1,CHEBI3473;cation
1.A.77.2.9,CHEBI3473;cation
3.A.1.15.17,CHEBI34754;iron(2+)CHEBI29035;manganese(2+)CHEBI10113;zinc(2+)
2.A.1.2.68,CHEBI9474;tetracycline
3.A.1.201.1,CHEBI23888;drug
2.A.1.4.10,CHEBI57488;hydrogen phosphonatoacetate(2-)CHEBI17272;propionate
1.B.1.1.13,CHEBI10426;beta-lactamCHEBI5879;imipenemCHEBI29470;2-(Biaryl)carbapenems
1.B.17.3.4,CHEBI49468;silver(1+)
1.A.17.1.4,CHEBI22563;anionCHEBI8150;phospholipid
1.A.30.1.4,CHEBI9175;sodium(1+)
1.A.77.1.5,CHEBI3308;calcium(2+)CHEBI6635;magnesium(2+)
2.A.1.48.3,CHEBI2642;alpha-amino acid
1.A.8.1.1,CHEBI2846;arsenite(3-)CHEBI26191;polyolCHEBI5448;glycerol
2.A.1.1.142,CHEBI23062;cellodextrin
2.A.23.2.4,CHEBI9175;sodium(1+)CHEBI29995;aspartate(2-)CHEBI21301;L-glutamate(1-)CHEBI9406;taurine
3.A.3.5.25,CHEBI49551;copper(1+)
1.C.69.1.2,CHEBI24870;ion
2.A.103.1.4,CHEBI61496;alpha-D-FucNAc4-(1-4)-beta-D-ManNAcA-(1-4)-D-GlcNAc-undecaprenyl diphosphate(3-)
1.A.112.2.12,CHEBI3345;L-canavanineCHEBI8650;putrescine
2.A.21.5.1,CHEBI3178;bromideCHEBI5946;iodideCHEBI29223;bromateCHEBI29226;iodateCHEBI29441;isothiocyanato groupCHEBI7580;nitric acid
1.A.8.7.4,CHEBI5585;water
1.W.7.1.1,CHEBI4291;deoxyribonucleic acid
1.B.66.5.1,CHEBI25367;molecule
1.R.2.1.5,CHEBI25054;lipid
3.A.1.2.33,CHEBI10085;xylose
2.A.102.1.1,CHEBI27023;toluene-4-sulfonate
5.B.1.3.1,CHEBI10545;electron
3.A.1.6.2,CHEBI46502;tungstate
2.A.3.2.8,CHEBI2643;arginine
2.A.113.1.5,CHEBI23337;cobalt(2+)CHEBI25517;nickel(2+)
1.A.85.1.5,CHEBI25367;molecule
1.A.6.1.4,CHEBI3308;calcium(2+)
1.A.56.1.8,CHEBI49551;copper(1+)
1.A.5.1.8,CHEBI36915;inorganic cation
1.C.85.1.6,CHEBI25367;molecule
1.A.12.2.1,CHEBI3731;chloride
1.C.107.1.2,CHEBI27026;toxin
2.A.105.1.10,CHEBI15361;pyruvate
1.A.55.1.2,CHEBI3308;calcium(2+)
1.B.40.2.5,CHEBI8526;protein polypeptide chain
3.A.3.1.12,CHEBI9175;sodium(1+)CHEBI8345;potassium(1+)
2.A.1.7.16,CHEBI14575;mannose
2.A.23.2.8,CHEBI9175;sodium(1+)CHEBI29987;glutamate(2-)CHEBI29995;aspartate(2-)
2.A.7.3.48,CHEBI23888;drug
2.D.1.1.4,CHEBI8137;phosphatidyl-L-serineCHEBI8134;phosphatidylinositol 4-phosphate
2.A.23.4.1,CHEBI9175;sodium(1+)CHEBI16857;L-threonineCHEBI9116;serine
2.A.1.16.7,CHEBI28163;iron(III) hydroxamateCHEBI84688;Fe(III)-complexed hydroxamate siderophore
2.A.15.1.6,"CHEBI9175;sodium(1+)CHEBI3073;glycine betaineCHEBI16457;S,S-dimethyl-beta-propiothetin"
3.A.1.211.15,CHEBI6486;lipid
2.A.96.1.5,CHEBI22534;ammonium
1.B.52.2.2,CHEBI25367;molecule
1.B.70.1.7,CHEBI25367;molecule
1.C.45.1.5,CHEBI25367;molecule
3.A.3.32.4,CHEBI25213;metal cation
4.A.1.2.17,CHEBI47966;aldehydo-N-acetylmuramic acid
3.A.1.2.27,CHEBI9840;UDP-sugar
1.B.6.6.1,CHEBI25367;molecule
1.A.75.1.2,CHEBI24870;ionCHEBI23058;cation
1.B.4.1.2,CHEBI25367;molecule
2.A.67.1.1,CHEBI7755;oligopeptide
1.A.30.3.3,CHEBI5584;hydron
1.A.2.1.2,CHEBI8345;potassium(1+)
3.A.5.1.3,CHEBI8526;protein polypeptide chain
3.A.1.139.1,CHEBI9845;UDP-D-glucose
2.A.17.4.1,CHEBI5584;hydronCHEBI7990;peptide
3.A.3.10.24,CHEBI23058;cation
8.A.212.1.1,CHEBI14911;protein
3.A.22.1.1,CHEBI8755;(ribonucleotide)n+m
3.A.1.3.16,CHEBI29987;glutamate(2-)CHEBI29995;aspartate(2-)
3.A.1.21.2,CHEBI62579;carboxymycobactin
1.A.11.4.7,CHEBI7435;ammoniumCHEBI7434;ammoniaCHEBI3283;carbon dioxide
2.A.4.3.4,CHEBI10113;zinc(2+)
1.B.33.2.1,CHEBI8526;protein polypeptide chain
2.A.36.5.1,CHEBI30143;lithium(1+)CHEBI9175;sodium(1+)CHEBI8345;potassium(1+)CHEBI33126;caesium(1+)CHEBI5584;hydron
2.A.56.3.4,CHEBI11851;3-methyl-2-oxobutanoateCHEBI15361;pyruvateCHEBI16763;2-oxobutanoateCHEBI1585;3-methyl-2-oxovalerateCHEBI1891;4-methyl-2-oxopentanoic acid
1.C.39.7.4,CHEBI25367;molecule
1.A.56.1.2,CHEBI49551;copper(1+)CHEBI49468;silver(1+)
2.A.29.7.4,CHEBI50744;citrate salt
2.A.5.1.22,CHEBI29105;zinc(2+)
1.A.4.2.5,CHEBI3308;calcium(2+)
1.B.14.4.1,CHEBI23380;copper(2+)
2.A.66.1.11,CHEBI30762;salicylate
1.B.4.1.1,CHEBI25367;molecule
3.A.1.205.18,"CHEBI383703;3,6-diamino-10-methylacridinium chlorideCHEBI24279;glucosinolate"
2.A.5.5.4,CHEBI10113;zinc(2+)
1.C.29.1.2,CHEBI5585;waterCHEBI25367;moleculeCHEBI53369;polyelectrolyte macromolecule
1.C.64.1.14,CHEBI36914;inorganic ion
2.A.3.10.8,CHEBI9769;tryptophan
2.A.47.1.7,CHEBI9175;sodium(1+)CHEBI23688;dicarboxylic acid dianion
1.C.111.1.5,CHEBI25367;molecule
1.B.163.1.7,CHEBI24870;ion
9.B.198.2.5,CHEBI8137;phosphatidyl-L-serineCHEBI3659;cholesterol
1.A.55.4.2,CHEBI3308;calcium(2+)
9.A.24.1.2,CHEBI3659;cholesterolCHEBI8337;porphyrin
1.A.3.2.9,CHEBI3308;calcium(2+)
2.A.51.1.5,CHEBI29393;chromate(2-)
9.A.66.1.1,CHEBI8526;protein polypeptide chain
1.C.85.1.11,CHEBI25367;molecule
3.A.5.4.2,CHEBI8526;protein polypeptide chain
3.A.10.1.4,CHEBI9175;sodium(1+)
2.A.17.4.8,CHEBI7990;peptide
1.B.16.2.2,CHEBI25367;molecule
3.E.1.1.1,CHEBI5584;hydron
2.A.21.5.6,CHEBI9175;sodium(1+)CHEBI3407;monocarboxylic acid anion
1.A.77.3.42,CHEBI3473;cation
3.A.1.113.2,CHEBI84046;pyoverdine
1.C.10.1.2,CHEBI25367;molecule
3.A.3.5.21,CHEBI49551;copper(1+)CHEBI49468;silver(1+)
2.A.36.5.8,CHEBI30143;lithium(1+)CHEBI9175;sodium(1+)CHEBI8345;potassium(1+)CHEBI33126;caesium(1+)CHEBI5584;hydron
2.A.1.13.13,CHEBI3407;monocarboxylic acid anion
3.A.6.3.1,CHEBI8526;protein polypeptide chain
2.A.7.3.22,CHEBI6829;methionineCHEBI2642;alpha-amino acid
2.A.1.1.149,CHEBI18133;hexose
1.G.17.1.3,CHEBI25367;molecule
1.A.4.5.8,CHEBI3308;calcium(2+)CHEBI6635;magnesium(2+)
2.A.22.2.9,CHEBI2642;alpha-amino acid
9.B.142.10.2,CHEBI24364;glyceryl group
1.A.1.9.4,CHEBI8345;potassium(1+)
2.A.1.1.135,CHEBI5256;galactose
2.A.1.1.126,CHEBI10601;myo-inositol
2.A.49.3.5,CHEBI3731;chlorideCHEBI7580;nitric acid
3.A.3.2.41,CHEBI9175;sodium(1+)
1.A.26.1.1,CHEBI6635;magnesium(2+)CHEBI23337;cobalt(2+)
1.A.1.15.8,CHEBI8345;potassium(1+)
2.A.1.2.22,CHEBI3603;chloramphenicolCHEBI23888;drug
1.A.110.1.4,CHEBI5584;hydron
9.A.2.1.1,CHEBI5589;hydrogencarbonateCHEBI3401;carbonic acidCHEBI3283;carbon dioxide
2.A.7.9.6,CHEBI7793;phosphate(3-)CHEBI4170;D-glucopyranose 6-phosphate
1.C.52.1.5,CHEBI24870;ion
1.B.17.1.1,CHEBI26672;siderophoreCHEBI23888;drug
2.A.53.4.2,CHEBI9335;sulfate
4.D.1.4.4,CHEBI24403;glycosyl group
2.A.9.2.1,CHEBI8526;protein polypeptide chainCHEBI14911;protein
1.B.34.1.2,CHEBI25367;molecule
1.A.9.6.2,CHEBI3731;chloride
1.B.66.1.6,CHEBI25367;molecule
2.A.1.13.23,CHEBI60311;thyroid hormone
1.A.1.10.18,CHEBI9175;sodium(1+)
2.A.39.4.2,CHEBI47589;N-ribosylnicotinamide
3.A.3.7.1,CHEBI8345;potassium(1+)
1.B.67.1.1,CHEBI25367;molecule
9.B.1.1.19,CHEBI14911;protein
4.C.1.1.13,CHEBI4984;fatty acid
3.A.1.109.6,CHEBI8526;protein polypeptide chain
1.B.45.3.1,CHEBI25367;molecule
3.A.1.2.14,CHEBI22599;arabinose
2.A.76.1.11,CHEBI2642;alpha-amino acid
2.A.5.1.7,CHEBI3290;cadmium(2+)CHEBI10113;zinc(2+)
2.A.6.2.6,"CHEBI659853;colistinCHEBI3603;chloramphenicolCHEBI10426;beta-lactamCHEBI15368;acroleinCHEBI9474;tetracyclineCHEBI78884;4-terpineolCHEBI561;1,8-cineoleCHEBI87211;fluoroquinolone antibioticCHEBI25106;macrolide"
2.A.1.9.10,CHEBI7793;phosphate(3-)
2.A.3.10.10,CHEBI25094;lysine
1.W.1.1.2,CHEBI4291;deoxyribonucleic acid
1.B.16.2.5,CHEBI25367;molecule
2.A.29.5.9,CHEBI34754;iron(2+)
1.B.38.1.5,CHEBI25367;molecule
1.A.33.1.1,CHEBI24870;ion
2.A.6.4.2,CHEBI8526;protein polypeptide chain
2.A.9.3.1,CHEBI8526;protein polypeptide chain
3.E.1.1.3,CHEBI3731;chlorideCHEBI3178;bromideCHEBI5584;hydron
2.A.31.2.13,CHEBI9175;sodium(1+)CHEBI5589;hydrogencarbonate
2.A.55.2.6,CHEBI29035;manganese(2+)
2.A.6.2.12,CHEBI3020;benzalkonium chlorideCHEBI8984;sodium dodecyl sulfateCHEBI23378;copper cationCHEBI27365;zinc ionCHEBI23614;deoxycholateCHEBI4796;enoxacinCHEBI7629;norfloxacinCHEBI3765;cloxacillinCHEBI7456;nalidixic acidCHEBI3098;bile acidCHEBI6104;kanamycin
1.B.14.6.10,CHEBI25367;molecule
9.B.163.4.1,CHEBI25367;molecule
3.A.3.2.22,CHEBI3308;calcium(2+)
1.B.59.2.1,CHEBI25367;molecule
2.A.87.3.2,CHEBI10191;all-trans-heptaprenyl diphosphate
2.A.1.19.35,CHEBI25696;organic anion
3.B.1.1.3,CHEBI9175;sodium(1+)
2.A.33.1.4,CHEBI9175;sodium(1+)CHEBI5584;hydron
1.C.31.1.2,CHEBI24870;ionCHEBI25367;molecule
2.A.1.14.29,CHEBI9175;sodium(1+)
1.G.9.1.2,CHEBI25367;molecule
3.A.1.15.14,CHEBI29035;manganese(2+)
5.B.1.1.2,CHEBI10545;electron
2.A.23.1.3,CHEBI14584;mesaconate(2-)CHEBI17240;itaconate(2-)CHEBI15595;malate(2-)CHEBI42511;fumarate(2-)CHEBI30839;orotate
1.C.20.1.4,CHEBI5585;waterCHEBI25367;moleculeCHEBI53369;polyelectrolyte macromolecule
1.B.5.1.5,CHEBI25367;molecule
9.B.27.2.3,CHEBI9090;selenite(2-)
2.A.3.10.20,CHEBI25094;lysineCHEBI2643;arginineCHEBI5733;histidine
3.A.3.4.1,CHEBI6635;magnesium(2+)CHEBI25517;nickel(2+)
9.B.154.1.4,CHEBI25367;molecule
1.C.28.5.1,CHEBI5585;waterCHEBI25367;moleculeCHEBI53369;polyelectrolyte macromolecule
1.W.1.1.3,CHEBI4291;deoxyribonucleic acid
3.A.1.1.9,CHEBI7758;oligosaccharide
1.A.24.1.10,CHEBI25367;molecule
1.A.6.1.9,CHEBI24870;ion
1.A.69.4.1,CHEBI3473;cation
1.C.92.1.1,CHEBI25367;molecule
1.B.65.1.7,CHEBI25367;molecule
1.A.96.1.1,CHEBI25367;molecule
1.A.77.3.33,CHEBI3473;cation
2.A.113.1.7,CHEBI25517;nickel(2+)
1.C.72.4.2,CHEBI27026;toxin
2.A.31.2.8,CHEBI9175;sodium(1+)CHEBI5589;hydrogencarbonate
1.A.5.1.4,CHEBI24870;ion
2.A.1.9.4,CHEBI7793;phosphate(3-)
2.A.6.2.43,CHEBI6440;levofloxacinCHEBI3717;ciprofloxacinCHEBI6939;minocyclineCHEBI9474;tetracycline
3.A.1.208.44,CHEBI10603;myo-inositol hexakisphosphate
5.A.3.7.1,CHEBI10545;electron
2.D.1.1.3,CHEBI8137;phosphatidyl-L-serineCHEBI8134;phosphatidylinositol 4-phosphate
8.A.104.1.13,CHEBI14911;protein
1.B.27.2.2,CHEBI25367;molecule
2.A.3.8.28,CHEBI16857;L-threonineCHEBI9116;serine
2.A.40.7.3,CHEBI8639;7H-purine
3.A.1.3.12,CHEBI25094;lysineCHEBI2643;arginineCHEBI5432;glutamineCHEBI5733;histidine
1.C.24.1.5,CHEBI5585;waterCHEBI25367;moleculeCHEBI53369;polyelectrolyte macromolecule
1.A.1.16.6,CHEBI29103;potassium(1+)
1.B.8.3.2,CHEBI3473;cation
2.A.1.53.1,CHEBI16857;L-threonine
2.A.19.2.12,CHEBI3308;calcium(2+)CHEBI6635;magnesium(2+)CHEBI29035;manganese(2+)CHEBI5584;hydron
1.A.1.13.8,CHEBI8345;potassium(1+)
3.A.10.2.6,CHEBI5584;hydronCHEBI18361;diphosphate(4-)
2.A.29.3.5,CHEBI3731;chlorideCHEBI5584;hydron
2.A.66.1.8,CHEBI3290;cadmium(2+)CHEBI7629;norfloxacinCHEBI22315;alkaloidCHEBI22582;antimicrobial agentCHEBI23888;drug
1.M.1.3.6,CHEBI25367;molecule
2.A.3.10.15,CHEBI29987;glutamate(2-)CHEBI25094;lysineCHEBI8301;polyamine macromoleculeCHEBI45453;sinefunginCHEBI8946;S-adenosyl-L-methionine
1.A.50.1.1,CHEBI3308;calcium(2+)CHEBI8345;potassium(1+)
3.A.7.4.2,CHEBI8526;protein polypeptide chain
3.A.1.210.10,CHEBI86471;pyrite
2.A.36.6.3,CHEBI8345;potassium(1+)
1.A.77.2.14,CHEBI3473;cation
3.A.1.208.31,CHEBI76612;ibrutinibCHEBI7887;paclitaxelCHEBI23888;drug
2.A.1.2.25,CHEBI63599;fludarabine phosphateCHEBI2470;adenineCHEBI2472;adenosineCHEBI5563;guanineCHEBI5564;guanosineCHEBI5927;inosineCHEBI5841;hypoxanthine
1.A.112.2.8,CHEBI6635;magnesium(2+)CHEBI23337;cobalt(2+)
1.C.90.1.1,CHEBI24870;ion
2.A.6.3.12,CHEBI23888;drug
1.A.8.9.13,CHEBI22534;ammoniumCHEBI5585;waterCHEBI7434;ammoniaCHEBI6864;methylamineCHEBI5448;glycerol
2.A.3.1.12,CHEBI5733;histidineCHEBI8089;phenylalanineCHEBI9769;tryptophanCHEBI9800;tyrosine
3.A.1.204.36,CHEBI34911;permethrinCHEBI26413;pyrethroid insecticide
2.A.1.1.9,CHEBI5584;hydronCHEBI6353;alpha-lactoseCHEBI5256;galactose
2.A.7.35.2,CHEBI6635;magnesium(2+)
2.A.37.5.2,CHEBI8345;potassium(1+)CHEBI5584;hydron
1.A.81.2.1,CHEBI3308;calcium(2+)
1.A.77.3.41,CHEBI3473;cation
1.B.1.4.3,CHEBI7629;norfloxacinCHEBI3508;ceftazidimeCHEBI3486;cefepimeCHEBI43968;meropenemCHEBI404903;ertapenemCHEBI5879;imipenem
3.A.1.205.19,CHEBI25367;molecule
8.A.82.5.1,CHEBI3308;calcium(2+)
9.B.37.2.1,CHEBI3308;calcium(2+)CHEBI6635;magnesium(2+)
1.A.1.5.7,CHEBI8345;potassium(1+)CHEBI49847;rubidium(1+)CHEBI33126;caesium(1+)
2.A.12.1.17,CHEBI5584;hydronCHEBI3285;CTPCHEBI2359;ATPCHEBI5234;GTPCHEBI9850;UTP
2.A.46.1.2,CHEBI16150;benzoate
3.A.1.204.2,"CHEBI8828;rhodamine 123CHEBI5437;glutathioneCHEBI53002;amyloid-betaCHEBI5140;folic acidCHEBI6837;methotrexateCHEBI9396;tamoxifenCHEBI5742;2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazoleCHEBI47344;alvocidibCHEBI2496;doxorubicinCHEBI3659;cholesterolCHEBI1366;resveratrolCHEBI6955;mitoxantroneCHEBI4864;17beta-estradiolCHEBI9461;testosteroneCHEBI4330;daunorubicinCHEBI8453;progesteroneCHEBI9885;7,9-dihydro-1H-purine-2,6,8(3H)-trioneCHEBI5651;ferroheme bCHEBI38257;pheophorbide a"
1.A.8.8.19,CHEBI5585;water
1.A.55.4.1,CHEBI3308;calcium(2+)
2.A.1.2.55,CHEBI16670;peptideCHEBI4634;dipeptideCHEBI22599;arabinoseCHEBI23888;drug
3.A.1.2.25,CHEBI9840;UDP-sugar
9.B.1.1.6,CHEBI8526;protein polypeptide chain
2.A.123.1.2,CHEBI9840;UDP-sugar
1.C.90.1.2,CHEBI24870;ion
1.B.33.3.6,CHEBI8526;protein polypeptide chain
9.A.76.1.3,CHEBI24024;fatty acid
2.A.1.7.2,CHEBI5418;glucoseCHEBI5256;galactose
1.A.23.4.20,CHEBI24870;ion
1.A.8.9.11,CHEBI5585;water
2.A.1.2.4,CHEBI5584;hydron
9.B.297.4.4,CHEBI14911;protein
2.A.41.2.1,CHEBI9175;sodium(1+)CHEBI8639;7H-purine
2.A.88.1.2,CHEBI3108;biotin
1.A.104.1.4,CHEBI5584;hydron
3.A.1.208.1,CHEBI5437;glutathioneCHEBI5140;folic acidCHEBI6837;methotrexateCHEBI9987;vincristineCHEBI25029;leukotrieneCHEBI23888;drug
2.A.81.1.6,CHEBI29995;aspartate(2-)CHEBI2539;alanine
2.A.3.10.3,CHEBI26271;proline
2.A.3.12.3,CHEBI8301;polyamine macromolecule
1.E.1.1.8,CHEBI14911;protein
2.A.6.4.3,CHEBI24636;protonCHEBI8526;protein polypeptide chain
2.A.56.1.18,CHEBI16810;2-oxoglutarate(2-)CHEBI15589;(S)-malate(2-)CHEBI30031;succinate(2-)CHEBI29806;fumarate(2-)
2.A.76.2.1,"CHEBI87174;(+)-(1S,2S)-norcoronamic acid"
2.A.7.9.14,CHEBI25609;nucleotide-sugar
4.A.1.2.18,CHEBI17315;D-glucosamineCHEBI4167;D-glucopyranoseCHEBI16024;D-mannoseCHEBI15824;D-fructose
1.C.53.1.4,CHEBI24870;ion
1.B.77.2.2,CHEBI25367;molecule
1.A.8.11.8,CHEBI7434;ammoniaCHEBI3283;carbon dioxide
1.B.25.1.11,CHEBI26271;proline
2.A.96.1.11,CHEBI13704;acetate
1.A.17.3.1,CHEBI3731;chloride
1.C.35.1.1,CHEBI25367;molecule
1.B.18.3.8,"CHEBI61650;[3)-beta-D-galactopyranuronosyl-(1-3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1-4)-beta-D-galactopyranurosyl-(1-]n"
1.A.43.1.7,CHEBI17051;fluoride
1.C.36.3.3,CHEBI8526;protein polypeptide chain
3.D.1.7.1,CHEBI5584;hydron
3.A.1.12.10,CHEBI26272;L-proline betaineCHEBI3665;cholineCHEBI3424;carnitiniumCHEBI2416;acetylcholineCHEBI3073;glycine betaine
1.A.4.5.4,CHEBI9175;sodium(1+)CHEBI8345;potassium(1+)
2.A.55.2.12,CHEBI9929;vanadium oxoanion
1.C.39.14.2,CHEBI25367;molecule
9.B.154.1.1,CHEBI25367;molecule
2.A.29.4.6,CHEBI7793;phosphate(3-)
1.B.14.1.27,CHEBI29034;iron(3+)CHEBI50744;citrate salt
2.A.1.1.46,CHEBI5418;glucose
3.D.12.1.1,CHEBI10545;electron
1.A.77.3.16,CHEBI3473;cation
2.A.20.2.9,CHEBI7793;phosphate(3-)
1.C.107.1.1,CHEBI27026;toxin
2.A.11.1.2,CHEBI34552;barium(2+)CHEBI34982;strontium(2+)CHEBI3308;calcium(2+)CHEBI5584;hydron
1.B.44.1.3,CHEBI25367;molecule
2.A.22.1.10,CHEBI1420;serotonin
3.A.27.1.2,CHEBI14911;protein
2.A.23.1.11,CHEBI30031;succinate(2-)CHEBI29806;fumarate(2-)CHEBI29995;aspartate(2-)
2.A.1.7.8,CHEBI28009;N-acetyl-beta-D-glucosamine
3.A.1.11.9,CHEBI9218;spermidineCHEBI8650;putrescineCHEBI4705;double-stranded DNA
2.A.2.2.3,CHEBI12936;D-galactose
1.A.43.2.3,CHEBI17051;fluorideCHEBI41334;(R)-camphor
2.A.28.1.5,CHEBI9175;sodium(1+)CHEBI3098;bile acid
3.A.1.12.5,CHEBI3073;glycine betaineCHEBI26271;proline
2.A.5.1.3,CHEBI34754;iron(2+)CHEBI10113;zinc(2+)
9.B.89.1.1,CHEBI34755;iron(3+)
2.A.39.1.3,CHEBI8675;pyrimidine
1.B.9.2.2,CHEBI24632;hydrocarbon
2.A.1.1.65,CHEBI5418;glucose
2.A.130.1.2,CHEBI14911;protein
1.B.61.1.6,CHEBI25367;molecule
1.B.57.1.2,CHEBI25367;molecule
2.A.5.1.21,CHEBI10113;zinc(2+)
9.B.102.1.1,CHEBI9091;selenium atom
1.A.31.1.3,CHEBI24870;ion
2.A.47.1.15,CHEBI9175;sodium(1+)CHEBI23688;dicarboxylic acid dianion
1.A.77.3.39,CHEBI3473;cation
2.A.51.1.9,CHEBI29393;chromate(2-)
1.A.51.1.4,CHEBI5584;hydron
9.B.64.1.3,CHEBI3659;cholesterol
1.A.106.1.12,CHEBI3308;calcium(2+)
2.A.41.1.2,CHEBI5584;hydronCHEBI8675;pyrimidine
2.A.29.2.8,CHEBI50744;citrate saltCHEBI16452;oxaloacetate(2-)CHEBI30921;glutarate(2-)CHEBI16810;2-oxoglutarate(2-)CHEBI72701;2-oxopimelate(2-)CHEBI15595;malate(2-)CHEBI1247;2-oxoadipic acidCHEBI30832;adipic acid
9.A.24.1.4,CHEBI3659;cholesterolCHEBI8337;porphyrin
2.A.4.7.6,CHEBI29035;manganese(2+)
2.A.31.3.6,CHEBI22908;borateCHEBI24834;inorganic anion
3.A.3.8.8,CHEBI8137;phosphatidyl-L-serine
1.B.54.1.5,CHEBI8526;protein polypeptide chain
1.A.69.2.1,CHEBI3473;cation
1.A.4.2.8,CHEBI3308;calcium(2+)CHEBI36915;inorganic cation
1.B.17.3.10,"CHEBI383703;3,6-diamino-10-methylacridinium chlorideCHEBI9501;tetraphenylarsoniumCHEBI8641;puromycin"
1.A.93.1.3,CHEBI25367;molecule
1.C.35.4.1,CHEBI25367;molecule
2.A.54.1.4,CHEBI34755;iron(3+)
1.B.5.1.1,CHEBI22563;anionCHEBI7793;phosphate(3-)CHEBI28915;fosfomycin
2.A.5.5.7,CHEBI10113;zinc(2+)
1.C.52.1.35,CHEBI25367;molecule
2.A.1.2.45,CHEBI5172;fructoseCHEBI28757;fructose
3.A.1.211.26,CHEBI35748;fatty acid esterCHEBI17002;cholesteryl esterCHEBI9664;triglyceride
2.A.1.14.3,CHEBI35396;tartrate
1.A.97.1.5,CHEBI25367;molecule
1.G.2.1.8,CHEBI25367;molecule
1.C.36.4.1,CHEBI8526;protein polypeptide chain
1.C.17.1.1,CHEBI5585;waterCHEBI25367;moleculeCHEBI53369;polyelectrolyte macromolecule
1.B.33.1.1,CHEBI8526;protein polypeptide chain
9.A.8.1.5,CHEBI34754;iron(2+)
1.B.70.1.15,CHEBI25367;molecule
2.A.29.12.1,CHEBI3771;coenzyme A
2.A.1.14.12,CHEBI3108;biotin
2.A.53.2.10,CHEBI9175;sodium(1+)CHEBI22563;anion
1.G.20.1.1,CHEBI25367;molecule
2.A.67.1.5,CHEBI5437;glutathioneCHEBI9742;tripeptide
2.A.1.3.52,CHEBI23888;drug
3.A.1.122.15,CHEBI3473;cation
1.C.97.3.6,CHEBI25367;molecule
1.B.42.1.1,CHEBI6494;lipopolysaccharide
2.A.21.6.1,CHEBI8301;polyamine macromoleculeCHEBI9888;urea
2.A.1.1.137,CHEBI5448;glycerol
2.A.36.4.3,CHEBI30143;lithium(1+)CHEBI9175;sodium(1+)CHEBI5584;hydron
3.D.6.1.4,CHEBI5584;hydron
2.A.40.1.3,CHEBI8675;pyrimidine
2.A.1.3.27,CHEBI25094;lysineCHEBI2643;arginineCHEBI5733;histidine
